078  500  0.0010	100.00	80.67	[300, 100, 50]  3
078  500  0.0010	100.00	80.67	[300, 100, 50]  3
078  500  0.0010	100.00	82.00	[500, 100, 50]  3
078  500  0.0010	100.00	77.33	[500, 100, 3]  2
1678  500  0.0010	100.00	79.00	[500, 100, 4]  2
1678  200  0.0010	100.00	77.00	[200, 100, 4]  2
1678  200  0.0010	100.00	78.00	[200, 100, 50]  3
1678  200  0.0020	100.00	79.00	[200, 100, 50]  3
1678  300  0.0020	100.00	79.00	[200, 200, 50]  3
1678  300  0.0020	100.00	79.50	[100, 100, 100]  3
1678  300  0.0025	100.00	79.50	[100, 100, 100]  3
14678  300  0.0025	100.00	66.80	[100, 100, 100]  3
14678  300  0.0025	100.00	65.20	[100, 150, 50]  3
14678  300  0.0025	100.00	64.00	[300, 150, 50]  3
14678  300  0.0025	100.00	67.60	[300, 150, 5]  2
14678  500  0.0025	100.00	66.80	[400, 200, 5]  2
012345  500  0.0025	100.00	49.00	[400, 200, 6]  2
012345  200  0.0025	100.00	55.67	[100, 100, 6]  2
012345  300  0.0025	100.00	53.00	[100, 100, 6]  2
012345  300  0.0025	100.00	53.33	[100, 200, 6]  2
0123456789  300  0.0025	100.00	42.40	[100, 100, 100]  3
0123456789  300  0.0025	100.00	42.40	[100, 100, 10]  2
0123456789  500  0.0025	100.00	42.00	[200, 100, 50]  3
0123456789  200  0.0020	100.00	44.20	[200, 100, 50]  3
0123456789  200  0.0020	100.00	44.20	[200, 100, 50]  3
0123456789  200  0.0020	100.00	42.40	[200, 200, 200]  3
3456  200  0.0020	100.00	64.50	[200, 200, 200]  3
3456  200  0.0020	100.00	64.00	[200, 200, 200]  3
3456  200  0.0020	100.00	65.50	[200, 200, 200]  3
3456  300  0.0025	100.00	65.50	[200, 200, 200]  3
34567  300  0.0025	100.00	62.80	[200, 200, 200]  3
34567  300  0.0025	100.00	61.60	[200, 200, 200]  3
34567  300  0.0025	100.00	63.20	[200, 100, 5]  2
34567  300  0.0025	100.00	64.00	[200, 100, 5]  2
34567  300  0.0025	100.00	60.00	[200, 200, 5]  2
345679  300  0.0025	99.67	55.33	[200, 100, 6]  2
345679  300  0.0025	100.00	56.00	[200, 100, 6]  2
